listing_id,host_since,host_acceptance_rate,superhost,host_total_listings,neighborhood,room_type,accommodates,beds,min_nights,total_reviews,avg_rating,price
11838693,3/15/2016,1,TRUE,4,Takoma,EntireHome/apt,4,1,1,372,4.89,96
11851356,6/15/2015,0.64,TRUE,4,DupontCircle,EntireHome/apt,9,5,4,20,5,1128
11970099,11/27/2013,1,TRUE,30,CapitolHill,EntireHome/apt,6,3,31,27,4.96,354
12055525,6/13/2011,0.67,FALSE,1,Takoma,PrivateRoom,4,4,2,43,4.79,55
12088417,3/28/2016,NA,FALSE,2,FortMcNair,PrivateRoom,2,1,31,46,4.86,88
12152132,11/27/2013,1,TRUE,30,CapitolHill,NA,4,2,31,51,4.78,142
12173928,4/1/2016,0.99,FALSE,2,Petworth,EntireHome/apt,3,1,3,163,4.27,75
12219364,4/27/2013,1,FALSE,5,DupontCircle,EntireHome/apt,3,1,31,14,4.77,102
12223526,5/13/2015,NA,FALSE,1,Downtown,EntireHome/apt,3,1,31,35,4.94,130
12253009,4/5/2016,1,TRUE,1,CapitolHill,EntireHome/apt,3,1,2,431,4.93,109
12289125,8/9/2013,1,FALSE,11,Downtown,PrivateRoom,1,1,31,81,4.67,85
12314626,10/2/2014,1,FALSE,3,Bellevue,EntireHome/apt,2,1,31,255,4.81,80
12399984,11/27/2013,1,TRUE,30,CapitolHill,EntireHome/apt,4,2,31,49,4.84,169
12400338,11/27/2013,1,TRUE,30,CapitolHill,EntireHome/apt,2,1,31,45,4.58,155
12423375,4/24/2012,0.99,TRUE,1,CapitolHill,EntireHome/apt,2,1,3,285,4.96,105
12431578,10/1/2015,1,FALSE,4,Takoma,PrivateRoom,2,5,31,11,4.6,49
12446479,3/30/2015,0.92,FALSE,682,Downtown,EntireHome/apt,3,2,1,3,3.33,294
12513824,4/18/2016,0,FALSE,1,CapitolHill,EntireHome/apt,3,1,31,26,4.81,225
12579823,4/21/2016,NA,FALSE,1,Petworth,EntireHome/apt,2,1,31,3,5,85
12581800,4/20/2016,0.67,FALSE,2,CapitolHill,EntireHome/apt,2,1,31,10,5,150
